"","category","name","reviewer","review","date","ratings"
"11","slip","        RockDove Men's Original Two-Tone Memory Foam Slipper       "," RockDove Men's Original Two-Tone Memory Foam Slipper","







  
  
    Review:As someone who spends a lot of time on their feet, I'm always on the lookout for comfortable slippers that provide both support and breathability. The RockDove Men's Original Two-Tone Memory Foam Slippers have exceeded my expectations in every way.Comfort:From the moment I slipped my feet into these slippers, I was enveloped in a cloud of plush memory foam. The contoured design molds perfectly to the shape of my feet, providing exceptional arch support and cushioning. I can walk around in these slippers for hours without any discomfort.Breathability:Despite their cozy warmth, these slippers don't make my feet feel sweaty or claustrophobic. The special design fabric allows my feet to breathe freely, even on warm summer nights. This is a game-changer for someone who tends to overheat in traditional slippers.Style:I've never thought of slippers as being particularly stylish, but the RockDove Men's Original Two-Tone Memory Foam Slippers are a different story. The sleek design and elegant two-tone color scheme make them look more like casual loafers than slippers. I feel confident wearing them around the house or even running errands in them.Overall:These slippers are an absolute must-have for anyone looking for comfortable, supportive, and stylish footwear. The memory foam provides unmatched comfort, the breathable fabric keeps feet cool, and the stylish design makes them suitable for both indoor and outdoor wear. I highly recommend these slippers to anyone seeking a combination of comfort, practicality, and style.Pros:* Exceptional arch support and cushioning* Breathable fabric for all-day comfort* Stylish design for both indoor and outdoor wear* Durable construction for long-lasting wearCons:* None that I can find
  
","Reviewed in the United Kingdom on 4 December 2023","4.5 out of 5 stars"
"12","slip","        RockDove Men's Original Two-Tone Memory Foam Slipper       ","Amazon Customer","







  
  
    Absolutely perfect, size , value, comfortable and quality, so much so we have had another pair and will repeat buy for other gifts
  
","Reviewed in the United Kingdom on 9 February 2024","Previous page"
"13","slip","        RockDove Men's Original Two-Tone Memory Foam Slipper       ","Amazon Customer","







  
  
    These are really nice when you first put them on, but the memory foam didn't have a very long memory I guess. After a the first weekend they'll be fairly flat. Looking at my order histor though I buy these every 2 years more or less exactly, so in the long run they must be decent right?They're pretty warm, but not too warm in summer. They hold up fairly well (other than the memory foam) and they do mould to your feet quickly. I should probably be replacing them annually really, but this time I picked up 2 pairs at once so I can try that.Overall I think they're reasonably priced and fairly hard wearing, for the odd trip outside they're great. Just beware the memory foam doesn't last long.
  
","Reviewed in the United Kingdom on 11 December 2023","Next page"
"14","slip","        RockDove Men's Original Two-Tone Memory Foam Slipper       ","MR C CATAN","







  
  
    I recently purchased the RockDove Foam Slippers, and I couldn't be happier to have done so. These slippers have completely exceeded my expectations in terms of comfort and general wearability.On first slip on, the memory foam in these slippers is a game-changer. It feels like I'm walking on a cloud with every step I take. The cushioning is so plush and supportive that I find myself wearing these slippers not only around the house but also when I step outside to grab the mail or take out the trash. They really have helped with some of the plantar fasciitis that I've been dealing with. And since they are plush, but also pretty breathable, I wear them often even when it is a warm day.Another feature I appreciate is the easy on-and-off design. The backless style means I can slide my feet in and out effortlessly, which is super convenient. I have another pair of slippers that I just don't use because they are less slip on and more like putting on a shoe. And even with the low back, the slippers don't just fall off your feet.In terms of sizing, I found that they fit true to size, and the size chart provided by RockDove was accurate. I have size 15 feet and these fit without complaints out of the box.These are some great slippers and I do recommend them. They feel good and they don't look lame like some house slippers do. Great buy!
  
","Reviewed in the United Kingdom on 15 December 2023","4.5 out of 5 stars"
"15","slip","        RockDove Men's Original Two-Tone Memory Foam Slipper       ","Disappointed with product, packaged inappropriate for item so arrived unusable, arrived well after Xmas so product was returned, very disappointed ","







  
  
    I work at home, so I spend most of the day with them. Almost two months of intensive use and they are still perfect. Very sturdy, comfortable, very nice, they protect well when you hit a corner of the wall or furniture :)...I highly recommend.
  
","Reviewed in the United Kingdom on 4 March 2024","Previous page"
"16","slip","        RockDove Men's Original Two-Tone Memory Foam Slipper       ","Christian","







  
  
    Super comfy, well made and great price.My wife was super jealous of them and she has a pair of Mahibis slippers that were £80.
  
","Reviewed in the United Kingdom on 6 March 2024","4.5 out of 5 stars"
"17","slip","        RockDove Men's Original Two-Tone Memory Foam Slipper       ","Flav Santiago TPK","







  
  
    These are the most comfortable slippers I have ever worn.So warm and snug on your feet you hardly know you are wearing them.excellent price,worth every penny.😁
  
","Reviewed in the United Kingdom on 4 February 2024","4.2 out of 5 stars"
"18","slip","        RockDove Men's Original Two-Tone Memory Foam Slipper       ","Flav Santiago TPK","







  
  
    When these first arrived they were so comfortable I didn't really want to take them off. They looked smart, were lightweight and had a good footbed and sole. A solid 5 star review was on the cards.However, the more I wore them the more the memory foam forgot that it was supposed to recover and the flatter the footbed became. This meant that not only did they become less comfortable but you could feel any and every lump or gap you trod on, and they became harder to keep on one's foot. Finally they started slipping off when going up or down stairs and creating their own slip hazard - eventually causing me to fall (luckily) when going up the stairs.I really wanted to like these, but in the end I returned them, and am now looking for a replacement.CUSTOMER SERVICE: Worth 5 StarsI must add a note about their customer services. After I had returned these (and received a refund) I got a message from Rock Dove apologising that I had had problems with their slippers and offering to refund the purchase price. Although I turned down the offer I was impressed enough to see that they obviously monitor feedback, and have now ordered a different pair.
  
","Reviewed in the United Kingdom on 6 February 2024","4.3 out of 5 stars"
"19","slip","        RockDove Men's Original Two-Tone Memory Foam Slipper       ","Roberto","







  
  
    These shoes were tight on the first day. On the second day, the shoes were adjusted naturally, as stated in the instructions that arrived with the shoes. Now the fit is perfect, comfortable, and the color is perfect. Planning on ordering another pair to use in my RV. Great product!
  
","Reviewed in the United States on 22 February 2024","Next page"
"20","slip","        RockDove Men's Original Two-Tone Memory Foam Slipper       ","Roberto","







  
  
    I gave a pair of these slippers to my husband for Christmas.His feet are slightly different sizes, with his left foot more or less fitting into a size 12 shoe while his right foot needs a size 13. Buying shoes or slippers has always been a frustrating trial for him.First off, these slippers come in larger sizes; so that was a homerun right off the bat.Still, I was uncertain what size to buy;so I measured the length of a pair of his shoes, compared that length to the given length of the slippers, and then bought the corresponding size, 13-14 US. I was afraid they might be too big, but thought ""better a bit too big than too small"".Well, he reports that the 13-14 fits him perfectly, and is wearing them daily. He no longer pads around the house in his socks.He likes that these slippers are easy to slip on and off, yet stay on his feet while he's walking.He likes that he can wear them with either thin or thick socks.He likes that, because of their thick, waterproof soles, he can step outside in them and his feet and socks will remain clean and dry, even if it has been raining or there is a bit of snow on the ground.What I like is that these slippers are attractive. He had bought himself a couple of pairs of what you might call ""typical"" men's slip-on slippers that were brown, more open and very thin soled. Apparently, they were the only things he could find, a few years back, that would fit his feet. They had gotten pretty ratty-looking, and a pair of ratty-looking size 12 slippers is not something that I enjoyed seeing lying about the house. So I admit that I was not seeking comfort in a slipper for him, but a higher esthetic. Happily, we can break out the party favors because these slippers have fulfilled both needs.These two-toned blue and Grey slippers are, so far, holding their shape. After two weeks of wear, they still look new. And, if a size 13-14 man's shoe can be ""cute"" these are. Seeing them in the front hall (where he leaves them when he goes out) bothers me not a whit.In short, these slippers are five star: warm, comfortable, useful, sturdy, attractive, and a perfect fit. My husband says this was the best present he's received in years.As he is a tough sell on most things, this is high praise. Warms the heart that I did something nice for the aging relative. I am, after all, quite fond of him.
  
","Reviewed in Canada on 9 January 2024","4.5 out of 5 stars"
"21","slip","        RockDove Men's Original Two-Tone Memory Foam Slipper       "," RockDove Men's Original Two-Tone Memory Foam Slipper","







  
  
    Review:As someone who spends a lot of time on their feet, I'm always on the lookout for comfortable slippers that provide both support and breathability. The RockDove Men's Original Two-Tone Memory Foam Slippers have exceeded my expectations in every way.Comfort:From the moment I slipped my feet into these slippers, I was enveloped in a cloud of plush memory foam. The contoured design molds perfectly to the shape of my feet, providing exceptional arch support and cushioning. I can walk around in these slippers for hours without any discomfort.Breathability:Despite their cozy warmth, these slippers don't make my feet feel sweaty or claustrophobic. The special design fabric allows my feet to breathe freely, even on warm summer nights. This is a game-changer for someone who tends to overheat in traditional slippers.Style:I've never thought of slippers as being particularly stylish, but the RockDove Men's Original Two-Tone Memory Foam Slippers are a different story. The sleek design and elegant two-tone color scheme make them look more like casual loafers than slippers. I feel confident wearing them around the house or even running errands in them.Overall:These slippers are an absolute must-have for anyone looking for comfortable, supportive, and stylish footwear. The memory foam provides unmatched comfort, the breathable fabric keeps feet cool, and the stylish design makes them suitable for both indoor and outdoor wear. I highly recommend these slippers to anyone seeking a combination of comfort, practicality, and style.Pros:* Exceptional arch support and cushioning* Breathable fabric for all-day comfort* Stylish design for both indoor and outdoor wear* Durable construction for long-lasting wearCons:* None that I can find
  
","Reviewed in the United Kingdom on 4 December 2023","4.5 out of 5 stars"
"22","slip","        RockDove Men's Original Two-Tone Memory Foam Slipper       ","Amazon Customer","







  
  
    Absolutely perfect, size , value, comfortable and quality, so much so we have had another pair and will repeat buy for other gifts
  
","Reviewed in the United Kingdom on 9 February 2024","Previous page"
"23","slip","        RockDove Men's Original Two-Tone Memory Foam Slipper       ","Amazon Customer","







  
  
    These are really nice when you first put them on, but the memory foam didn't have a very long memory I guess. After a the first weekend they'll be fairly flat. Looking at my order histor though I buy these every 2 years more or less exactly, so in the long run they must be decent right?They're pretty warm, but not too warm in summer. They hold up fairly well (other than the memory foam) and they do mould to your feet quickly. I should probably be replacing them annually really, but this time I picked up 2 pairs at once so I can try that.Overall I think they're reasonably priced and fairly hard wearing, for the odd trip outside they're great. Just beware the memory foam doesn't last long.
  
","Reviewed in the United Kingdom on 11 December 2023","Next page"
"24","slip","        RockDove Men's Original Two-Tone Memory Foam Slipper       ","MR C CATAN","







  
  
    I recently purchased the RockDove Foam Slippers, and I couldn't be happier to have done so. These slippers have completely exceeded my expectations in terms of comfort and general wearability.On first slip on, the memory foam in these slippers is a game-changer. It feels like I'm walking on a cloud with every step I take. The cushioning is so plush and supportive that I find myself wearing these slippers not only around the house but also when I step outside to grab the mail or take out the trash. They really have helped with some of the plantar fasciitis that I've been dealing with. And since they are plush, but also pretty breathable, I wear them often even when it is a warm day.Another feature I appreciate is the easy on-and-off design. The backless style means I can slide my feet in and out effortlessly, which is super convenient. I have another pair of slippers that I just don't use because they are less slip on and more like putting on a shoe. And even with the low back, the slippers don't just fall off your feet.In terms of sizing, I found that they fit true to size, and the size chart provided by RockDove was accurate. I have size 15 feet and these fit without complaints out of the box.These are some great slippers and I do recommend them. They feel good and they don't look lame like some house slippers do. Great buy!
  
","Reviewed in the United Kingdom on 15 December 2023","4.5 out of 5 stars"
"25","slip","        RockDove Men's Original Two-Tone Memory Foam Slipper       ","Disappointed with product, packaged inappropriate for item so arrived unusable, arrived well after Xmas so product was returned, very disappointed ","







  
  
    I work at home, so I spend most of the day with them. Almost two months of intensive use and they are still perfect. Very sturdy, comfortable, very nice, they protect well when you hit a corner of the wall or furniture :)...I highly recommend.
  
","Reviewed in the United Kingdom on 4 March 2024","Previous page"
"26","slip","        RockDove Men's Original Two-Tone Memory Foam Slipper       ","Christian","







  
  
    Super comfy, well made and great price.My wife was super jealous of them and she has a pair of Mahibis slippers that were £80.
  
","Reviewed in the United Kingdom on 6 March 2024","4.5 out of 5 stars"
"27","slip","        RockDove Men's Original Two-Tone Memory Foam Slipper       ","Flav Santiago TPK","







  
  
    These are the most comfortable slippers I have ever worn.So warm and snug on your feet you hardly know you are wearing them.excellent price,worth every penny.😁
  
","Reviewed in the United Kingdom on 4 February 2024","4.2 out of 5 stars"
"28","slip","        RockDove Men's Original Two-Tone Memory Foam Slipper       ","Flav Santiago TPK","







  
  
    When these first arrived they were so comfortable I didn't really want to take them off. They looked smart, were lightweight and had a good footbed and sole. A solid 5 star review was on the cards.However, the more I wore them the more the memory foam forgot that it was supposed to recover and the flatter the footbed became. This meant that not only did they become less comfortable but you could feel any and every lump or gap you trod on, and they became harder to keep on one's foot. Finally they started slipping off when going up or down stairs and creating their own slip hazard - eventually causing me to fall (luckily) when going up the stairs.I really wanted to like these, but in the end I returned them, and am now looking for a replacement.CUSTOMER SERVICE: Worth 5 StarsI must add a note about their customer services. After I had returned these (and received a refund) I got a message from Rock Dove apologising that I had had problems with their slippers and offering to refund the purchase price. Although I turned down the offer I was impressed enough to see that they obviously monitor feedback, and have now ordered a different pair.
  
","Reviewed in the United Kingdom on 6 February 2024","4.3 out of 5 stars"
"29","slip","        RockDove Men's Original Two-Tone Memory Foam Slipper       ","Roberto","







  
  
    These shoes were tight on the first day. On the second day, the shoes were adjusted naturally, as stated in the instructions that arrived with the shoes. Now the fit is perfect, comfortable, and the color is perfect. Planning on ordering another pair to use in my RV. Great product!
  
","Reviewed in the United States on 22 February 2024","Next page"
"30","slip","        RockDove Men's Original Two-Tone Memory Foam Slipper       ","Roberto","







  
  
    I gave a pair of these slippers to my husband for Christmas.His feet are slightly different sizes, with his left foot more or less fitting into a size 12 shoe while his right foot needs a size 13. Buying shoes or slippers has always been a frustrating trial for him.First off, these slippers come in larger sizes; so that was a homerun right off the bat.Still, I was uncertain what size to buy;so I measured the length of a pair of his shoes, compared that length to the given length of the slippers, and then bought the corresponding size, 13-14 US. I was afraid they might be too big, but thought ""better a bit too big than too small"".Well, he reports that the 13-14 fits him perfectly, and is wearing them daily. He no longer pads around the house in his socks.He likes that these slippers are easy to slip on and off, yet stay on his feet while he's walking.He likes that he can wear them with either thin or thick socks.He likes that, because of their thick, waterproof soles, he can step outside in them and his feet and socks will remain clean and dry, even if it has been raining or there is a bit of snow on the ground.What I like is that these slippers are attractive. He had bought himself a couple of pairs of what you might call ""typical"" men's slip-on slippers that were brown, more open and very thin soled. Apparently, they were the only things he could find, a few years back, that would fit his feet. They had gotten pretty ratty-looking, and a pair of ratty-looking size 12 slippers is not something that I enjoyed seeing lying about the house. So I admit that I was not seeking comfort in a slipper for him, but a higher esthetic. Happily, we can break out the party favors because these slippers have fulfilled both needs.These two-toned blue and Grey slippers are, so far, holding their shape. After two weeks of wear, they still look new. And, if a size 13-14 man's shoe can be ""cute"" these are. Seeing them in the front hall (where he leaves them when he goes out) bothers me not a whit.In short, these slippers are five star: warm, comfortable, useful, sturdy, attractive, and a perfect fit. My husband says this was the best present he's received in years.As he is a tough sell on most things, this is high praise. Warms the heart that I did something nice for the aging relative. I am, after all, quite fond of him.
  
","Reviewed in Canada on 9 January 2024","4.5 out of 5 stars"
"31","Slip","        VeraCosy Ladies' Fuzzy Curly Fur Memory Foam Slippers Anti-Slip Lightweight Breathable House Shoes       ","VeraCosy Women's Fuzzy Teddy Curly Fur Memory Foam Slippers","







  
  
    I usually take a size 7 and these size 7 fit well. Very cushioned sole for comfort. The material is fluffy on the outsize but fleecey on the inside so extremely warm. The high back means they don't fall off easily. Rubber sole fro grip means I am not constantly nearly launching myself down the stairs each time I go up or down! Good value for money.
  
","Reviewed in the United Kingdom on 24 January 2024","4.5 out of 5 stars"
"32","Slip","        VeraCosy Ladies' Fuzzy Curly Fur Memory Foam Slippers Anti-Slip Lightweight Breathable House Shoes       ","Amazon Customer","







  
  
    These are the best slippers money can buy.  I’ve had these for over5 years now I get them as Xmas presents. They are really well made, don’t trip you up and stay snug on your feet.  They are warm, smart and very durable. I highly recommend them and they are very comfortable.
  
","Reviewed in the United Kingdom on 31 January 2024","Previous page"
"33","Slip","        VeraCosy Ladies' Fuzzy Curly Fur Memory Foam Slippers Anti-Slip Lightweight Breathable House Shoes       ","Amazon Customer","







  
  
    Slightly on the snug side, but they still fit fine. Nice and warm.
  
","Reviewed in the United Kingdom on 12 December 2023","Next page"
"34","Slip","        VeraCosy Ladies' Fuzzy Curly Fur Memory Foam Slippers Anti-Slip Lightweight Breathable House Shoes       ","KMango","







  
  
    Cosy and warm, can wash them on a light setting in your washing machine. Second pair I have bought, as first bought in 2022. They are still good, but rather worn out. Love them!  Thank you very much.
  
","Reviewed in the United Kingdom on 16 February 2024","Previous page"
"35","Slip","        VeraCosy Ladies' Fuzzy Curly Fur Memory Foam Slippers Anti-Slip Lightweight Breathable House Shoes       ","al","







  
  
    My partner loves these slippers. Very comfy and warm. She has a different colour each time. Very good quality.
  
","Reviewed in the United Kingdom on 9 March 2024","Next page"
"36","Slip","        VeraCosy Ladies' Fuzzy Curly Fur Memory Foam Slippers Anti-Slip Lightweight Breathable House Shoes       ","zoe b","







  
  
    I have been pleased with these slippers, nice and warm and so comfortable, i recommend and would buy again.
  
","Reviewed in the United Kingdom on 9 February 2024","Previous page"
"37","Slip","        VeraCosy Ladies' Fuzzy Curly Fur Memory Foam Slippers Anti-Slip Lightweight Breathable House Shoes       ","Amazon Customer","







  
  
    I was pleased to find 1/2 sizes and Ordered my standard 4 1/2 with the confidence they would fit perfectly but they are too big and are also a wide fitting which isn’t mentioned at all in the description. The sole isn’t as wide as the fabric of the slipper so that overhangs and sits on the floor, so i imagine will quickly wear. The back is not high enough to reach the part of your heel that holds the thing onto your foot, so it slops off when you walk and i suspect would do so even if they fit well. My existing slippers only have half a sole left, so are slightly more dangerous than these, so I'm keeping these to wear until I can go buy some that fit. I’m also not paying £4 plus to send them back when in my opinion the sizing isn’t accurate, plus, they should have been advertised as wide fitting which would have meant I wouldn’t have entertained them in the first place. In the interest of fairness i can say that the inside memory foam is soft and comfortable and the stitching is a reasonable quality.
  
","Reviewed in the United Kingdom on 9 October 2023","Next page"
"38","Slip","        VeraCosy Ladies' Fuzzy Curly Fur Memory Foam Slippers Anti-Slip Lightweight Breathable House Shoes       ","Richard Liversidge","







  
  
    I thought these slippers were a bit expensive, but money well spent! I have arthritis in my feet and most slippers either don’t give enough support or the soles are too stiff which makes my feet ache… these are perfect!  Soft and comfortable, memory foam inside and plenty of arch support, but really warm and cosy too. The purple ones also look great (not at all ‘old people slippers’!), so well worth the money in my view.
  
","Reviewed in the United Kingdom on 7 January 2024","4.5 out of 5 stars"
"39","Slip","        VeraCosy Ladies' Fuzzy Curly Fur Memory Foam Slippers Anti-Slip Lightweight Breathable House Shoes       ","Amazon Customer","







  
  
    Very comfortable, true to size. Like the fact that they can be washed. Don’t make my feet too hot. In general love them!
  
","Reviewed in Canada on 29 February 2024","Previous page"
"40","Slip","        VeraCosy Ladies' Fuzzy Curly Fur Memory Foam Slippers Anti-Slip Lightweight Breathable House Shoes       ","unknown","







  
  
    I live in a 100 year old home in the Midwest and the floors get COLD!  I do not like slippers since I find them cumbersome but our recent cold snap has changed my mind!These slippers are light but very sturdy.  They are easy to slip into and stay securely on my feet.  I have a house with stairs everywhere and I was concerned that the memory foam might be too thick and make slippers difficult to walk in but that is not the case.  The rubber sole is nice and secure on hardwood floors.  I was also concerned that the ""fuzzy"" outside of the slippers would pickup lint and anything that was on the floor and they don't.Another nice thing is that each slipper has a small logo on the outside so you can tell which foot is which!I have not tried washing yet but these slippers seem very well made so I don't anticipate an issue.I will definitely purchase again!
  
","Reviewed in the United States on 21 January 2024","4.2 out of 5 stars"
"41","Slip","        VeraCosy Ladies' Fuzzy Curly Fur Memory Foam Slippers Anti-Slip Lightweight Breathable House Shoes       ","VeraCosy Women's Fuzzy Teddy Curly Fur Memory Foam Slippers","







  
  
    I usually take a size 7 and these size 7 fit well. Very cushioned sole for comfort. The material is fluffy on the outsize but fleecey on the inside so extremely warm. The high back means they don't fall off easily. Rubber sole fro grip means I am not constantly nearly launching myself down the stairs each time I go up or down! Good value for money.
  
","Reviewed in the United Kingdom on 24 January 2024","4.5 out of 5 stars"
"42","Slip","        VeraCosy Ladies' Fuzzy Curly Fur Memory Foam Slippers Anti-Slip Lightweight Breathable House Shoes       ","Amazon Customer","







  
  
    These are the best slippers money can buy.  I’ve had these for over5 years now I get them as Xmas presents. They are really well made, don’t trip you up and stay snug on your feet.  They are warm, smart and very durable. I highly recommend them and they are very comfortable.
  
","Reviewed in the United Kingdom on 31 January 2024","Previous page"
"43","Slip","        VeraCosy Ladies' Fuzzy Curly Fur Memory Foam Slippers Anti-Slip Lightweight Breathable House Shoes       ","Amazon Customer","







  
  
    Slightly on the snug side, but they still fit fine. Nice and warm.
  
","Reviewed in the United Kingdom on 12 December 2023","Next page"
"44","Slip","        VeraCosy Ladies' Fuzzy Curly Fur Memory Foam Slippers Anti-Slip Lightweight Breathable House Shoes       ","KMango","







  
  
    Cosy and warm, can wash them on a light setting in your washing machine. Second pair I have bought, as first bought in 2022. They are still good, but rather worn out. Love them!  Thank you very much.
  
","Reviewed in the United Kingdom on 16 February 2024","Previous page"
"45","Slip","        VeraCosy Ladies' Fuzzy Curly Fur Memory Foam Slippers Anti-Slip Lightweight Breathable House Shoes       ","al","







  
  
    My partner loves these slippers. Very comfy and warm. She has a different colour each time. Very good quality.
  
","Reviewed in the United Kingdom on 9 March 2024","Next page"
"46","Slip","        VeraCosy Ladies' Fuzzy Curly Fur Memory Foam Slippers Anti-Slip Lightweight Breathable House Shoes       ","zoe b","







  
  
    I have been pleased with these slippers, nice and warm and so comfortable, i recommend and would buy again.
  
","Reviewed in the United Kingdom on 9 February 2024","Previous page"
